"family","engine","status","converged","loglik","aic","bic","kendall_tau","lower_tail","upper_tail","rotation","warning","selected"
"gaussian","VineCopula","ok",TRUE,453.014361807077,-904.028723614155,-898.817166880841,0.491821958322783,0,0,0,,FALSE
"student","VineCopula","ok",TRUE,473.519395311939,-943.038790623879,-932.615677157251,0.497519401623861,0.288660576038523,0.288660576038523,0,,FALSE
"clayton","VineCopula","ok",TRUE,429.866368460075,-857.73273692015,-852.521180186836,0.432543337739962,0.634655883402257,0,0,,FALSE
"gumbel","VineCopula","ok",TRUE,397.655393698395,-793.310787396789,-788.099230663475,0.457443782126537,0,0.54344899932716,0,,FALSE
"frank","VineCopula","ok",TRUE,428.901374319353,-855.802748638707,-850.591191905393,0.501121940394303,0,0,0,,FALSE
"bb1","VineCopula","ok",TRUE,480.520054936127,-957.040109872254,-946.616996405627,0.487120496007768,0.537354485197769,0.354520945989774,0,,TRUE
